FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
DON CARLOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EVA NORTE;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;147460352.0;1769524224.0
DON PEDRO;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;295776000.0
LA VELA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ESPERANZA;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;24648000.0;295776000.0
LINA MARGARITA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0
ENANO;0.0;0.0;1755000.0;17670000.0;0.0;0.0;0.0;17670000.0;0.0;0.0;0.0;17670000.0;54765000.0
EVA;0.0;0.0;1755000.0;12825000.0;0.0;0.0;0.0;12825000.0;0.0;0.0;0.0;12825000.0;40230000.0
SAMI;0.0;0.0;1755000.0;18335000.0;0.0;0.0;0.0;18335000.0;0.0;0.0;0.0;18335000.0;56760000.0
VEGA;0.0;0.0;1755000.0;7125000.0;0.0;0.0;0.0;7125000.0;0.0;0.0;0.0;7125000.0;23130000.0
FEDERICA;0.0;0.0;1755000.0;20615000.0;0.0;0.0;0.0;20615000.0;0.0;0.0;0.0;20615000.0;63600000.0
NEERLANDIA;0.0;0.0;1755000.0;13680000.0;0.0;0.0;0.0;13680000.0;0.0;0.0;0.0;13680000.0;42795000.0
SAN ANTONIO;0.0;0.0;1755000.0;14915000.0;0.0;0.0;0.0;14915000.0;0.0;0.0;0.0;14915000.0;46500000.0
MRS;0.0;0.0;1755000.0;5890000.0;0.0;0.0;0.0;5890000.0;0.0;0.0;0.0;5890000.0;19425000.0
DON FUAD;0.0;0.0;1755000.0;18430000.0;0.0;0.0;0.0;18430000.0;0.0;0.0;0.0;18430000.0;57045000.0
EUFEMIA;0.0;0.0;1755000.0;29070000.0;0.0;0.0;0.0;27835000.0;0.0;0.0;0.0;27835000.0;86495000.0
OLGA;0.0;0.0;1755000.0;5035000.0;0.0;0.0;0.0;5035000.0;0.0;0.0;0.0;5035000.0;16860000.0
DON SAID;0.0;0.0;1755000.0;58425000.0;0.0;0.0;0.0;58425000.0;0.0;0.0;0.0;58425000.0;177030000.0
ASUNTINA;0.0;0.0;1755000.0;26410000.0;0.0;0.0;0.0;26410000.0;0.0;0.0;0.0;26410000.0;80985000.0
PORLAMAR;0.0;0.0;1755000.0;51965000.0;0.0;0.0;0.0;51965000.0;0.0;0.0;0.0;51965000.0;157650000.0
EL MORRO;0.0;0.0;1755000.0;5130000.0;0.0;0.0;0.0;5130000.0;0.0;0.0;0.0;5130000.0;17145000.0
LA PERLA;0.0;0.0;1755000.0;5890000.0;0.0;0.0;0.0;5890000.0;0.0;0.0;0.0;5890000.0;19425000.0
ARACATACA;0.0;0.0;1755000.0;29355000.0;0.0;0.0;0.0;29355000.0;0.0;0.0;0.0;29355000.0;89820000.0
